"分類","標題","URL","內文","內部連結"
"【    出國事宜      】","◇ 嬌小女生背大背包旅行..?","https://www.ptt.cc/man/EuropeTravel/D4FA/M.1118099690.A.F58.html","六月底我將要啟程到北歐，這是我的第一次自助旅行

        可是最近很困擾的是，究竟要帶大背包還是拖行李箱

        看完了這邊與椰林旅行板上的討論串後，我決定要帶大背包去旅行

        可是我的家人卻擔心我高估自己的體力，會無法負荷背包的重量


        我其實是個不常運動的人，決定自助旅行後，開始游泳練體力

        但是，體力應該只算ok而已

        我的行程有芬蘭瑞典挪威丹麥，為期四十五天

        因為是第一次自助，所以真的不知道情況到底怎麼樣

        想請問有揹過大背包長時間自助旅行的女生們

        感覺是如何? 玩到最後會很累嗎?

        還有想請問，曾經背過背包旅行之後，會建議同是女生揹背包還是拖行李箱?


        感謝你們的回答....:)

--

◆ From: 140.115.229.246




作者: kathyy () 看板: EuropeTravel
標題: Re: 嬌小女生背大背包旅行..?
時間: Mon Jun  6 19:31:13 2005





我是個女生 而且不是很粗勇的那種
我曾經自己一個人背背包旅行
但是旅行的時間都在兩個禮拜以內

我覺得體力的負荷上是還好
因為你托行李箱也會很累 背背包反而移動上比較方便

可是我每次回程都會多一堆東西 東買西買 加上衣服打包也不像出發前可以整理的那麼好
我覺得這時候行李箱比較方便 我指在收納上

不過背大背包的時間其實也不多吧
頂多就是在剛下火車找旅館 跟要離開旅館上火車那一段

其他時間都可以寄放在火車站或是旅館
所以除了收納之外 並不會造成太大困擾


--

◆ From: 59.121.201.106



作者: cypresses (別無所求) 看板: EuropeTravel
標題: Re: 嬌小女生背大背包旅行..?
時間: Mon Jun  6 20:32:45 2005


那我也來說一下，
我也是女生，而且據說是很強壯的那一種...XD
我之前曾經拖著大行李箱去自助旅行，
在歐洲拖到差點想把行李箱從旅館門口丟下去...
第一個因為住的地方不一定有電梯，
有的時候要把行李在狹小的樓梯搬上搬下，
第二個歐洲多石板路，拖著行李走很痛苦，
而且如果拖桿壞掉了或者是滾輪被摔壞了，
那還真是愈哭無淚..
第三個，如果你要坐火車的話，也是免不了要把大行李搬上搬下，
印象最深刻的是有一次火車擠滿了人，我要從走道過去，
問題是連走道上都塞滿了行李還有乘客...
最後我只好一路把行李扛著走..(二十幾公斤的行李...)
而且行李非常不好使力，除非你臂力夠好或者一路遇到好心人，
否則...我當初旅行一個多月回來，肌肉有點拉傷...肘關節痛了好久..
所以，我想你還是考慮考慮吧!!起碼背部能承受的重量應該要比手臂大得多吧XD




--

◆ From: 140.112.25.173




作者: yhs001 (薏仁漿好喝!) 看板: EuropeTravel
標題: Re: 嬌小女生背大背包旅行..?
時間: Mon Jun  6 20:46:56 2005

        我剛剛又突發奇想另一種方式
        如果揹一個背包，再拖一個小一點的行李箱呢
        這樣平常路況好時我可以用小行李箱來拖我的背包
        還可以分單一些背包的重量 (因為我真的不強壯>""<)

        不知道旅遊前輩們覺得這個方案
        是兼具背包與行李箱的優點，還是缺點加乘呢?

        感謝你們的討論與建議:)




--

◆ From: 140.115.229.246




作者: autoname (莫名其妙) 看板: EuropeTravel
標題: Re: 嬌小女生背大背包旅行..?
時間: Mon Jun  6 23:13:55 2005



     跟我去年用的方法有點像
     不過我是背中型背包+中型軟質的登機行李袋(就是有輪子 但也可以側背)

     基本的好處 跟你想的一樣 可以把兩個疊在一起用拖的

     我覺得另一個好處是 這樣很方便塞進寄物櫃
     因為是軟質 所以不太需要擔心擠不進去(硬殼行李箱就要注意一下尺寸)

     也因為是軟質 所以如果你愛shopping 東西應該還可以硬擠進去
     (我自己沒買什麼 所以不需要到硬塞就是)

     而需要快速移動 如趕火車時 就一個後背、一個側背
     登機袋側背會辛苦一點(一邊肩膀會酸) 但是這樣背的時間也不長 所以我覺得還ok

     總之 我玩了35天下來 覺得沒有什麼大問題
     你可以參考看看！


--

◆ From: 59.105.106.210




作者: wren (goodbye girl) 看板: EuropeTravel
標題: Re: 嬌小女生背大背包旅行..?
時間: Mon Jun  6 23:27:35 2005


我去年自助一個月是拖25吋的行李箱
說真的  拖來拖去還滿辛苦的
尤其是遇到電梯  手扶梯的地鐵時  真的會很想哭

但旅途上有遇到一對台灣情侶檔  男生負責背包包
他說平常沒習慣背的話  其實也很累  他一個男生也覺得受不了

所以要是我下次去的話  我會像我同學一樣拖個20吋或甚至更小的小行李箱
再塞個空的大曼谷包或背包之類來放紀念品  而且盡量少帶行李
這樣拖起來就不會太累  至少我那時就很羨慕我同學
主要是因為我超討厭在夏天背包包  因為背部被悶著會狂流汗  很不舒服
而且看了那男生的臭臉  讓我覺得背背包也滿辛苦的

其實我們還遇過一個超神奇的台灣女生
她也屬於嬌小型  最重要的是  她行李真是少到不行
就背一個可以背也可以拖的包包(跟一般Jansport的包包一樣大 甚至更小一點)
外加手上提個塑膠袋  人家那點行李也是一個人去歐洲玩了四五十天
當場讓我們兩個女生佩服的五體投地
所以重點其實是行李越輕便越好  這樣要拖或背都不成問題

--

◆ From: 61.228.205.42



作者: jasonIn (瓔珞) 看板: EuropeTravel
標題: Re: 嬌小女生背大背包旅行..?
時間: Tue Jun  7 00:30:10 2005

我的個子也不高。
前年十月去德國十六天，交通工具是大部分是火車，
拿一個中型的軟殼行李箱，真是有夠痛苦。
有些小站還沒有電梯，只得自己扛上扛下。
而且還在法蘭克福機場地鐵的手扶梯，發生行李箱向下倒的慘劇。
所以今年去義大利自助，一定要背包包，東西帶少一點。
其實用行李箱也不會輕鬆到哪去，因為德國有很多石子路。
用拖的手會很酸，且要一直拖著行李箱找住的地點也很不方便。
我不知道北歐是不是有很多石子路。
衷心建議開版者帶背包比較好。

不過，有另一個問題想請教知道的版友。
如果，行程的最後二天要住在羅馬的某家旅館。
可以在第一天到羅馬時，先把部份行李放在這家旅館嗎？



--

◆ From: 218.168.132.110



作者: sdpee (FUTSAL FEVER~~~) 看板: EuropeTravel
標題: Re: 嬌小女生背大背包旅行..?
時間: Tue Jun  7 01:03:06 2005



我個子也不高..體力也不怎樣..

去年自助行時...是背大背包去的....

第一天到亞維儂找預定的旅館時...

大太陽下又迷路...第一次背大背包的我簡直快昏死在路上...哈哈哈...

不過我後來發現...大背包真的要會背...就會比較輕鬆...

還好有遇到有經驗的旅行者提醒..後來的旅程...我就輕鬆很多...

我還是建議背背包啦....雖然有時候會羨慕拉旅行箱的人...好輕鬆的感覺...

但是會一直發出咖拉咖拉的聲響...而且還不是普通大聲...

上下交通工具的話...也是大包包比較方便...

累了的話可以停在路邊休息...哈哈哈....

不過收納真的就旅行箱比較方便...要找東西不用把手伸到包包底層挖來挖去..

哈哈哈...不過我覺得背大包包超有自助旅行的感覺~~~~~~

我回國大包包重量17kg...還要加上雙手提著的兩個包包..(我太愛買~~~)..應該有破20..

建議您...如果決定背包包的話...把行李塞滿後..最後在台灣就要練習試背..

習慣一下重量....^^


http://www.pixnet.net/displayimage.php?pos=-1529521


這是我大包包的樣子...

ps...東西.衣服真的不用帶太多...降就不會太重啦..又方便移動..

     然後多帶幾個可以收納成很小的旅行袋...以備不時之需啊...^^

祝你玩的愉快優~~~~~~~

--

◆ From: 61.229.5.50



作者: ussop (卡比獸) 看板: EuropeTravel
標題: Re: 嬌小女生背大背包旅行..?
時間: Tue Jun  7 02:01:00 2005

如果真的要背背包出門
建議買一個好一點的登山背包
好的背包  可以正確的把重量傳到腰部與腳
這樣背負起來就不會那麼吃力
好的背包背部的透氣性也會比較好  比較不會有背部濕透的現象
所以買背包時候  試背是很重要的
試背時就必須把背包負重塞買來試背


此外  背包打包的方法也有很大的差別
正確的打包可以讓你的背包很好背
而且東西也會比較容易拿出來

不管怎麼說  背背包用的是腳力與腰
單就耗力而言  一定是比用手拖行李箱輕鬆的


--

◆ From: 140.112.25.181



作者: jcll (.....) 看板: EuropeTravel
標題: Re: 嬌小女生背大背包旅行..?
時間: Tue Jun  7 03:58:52 2005



  其實背包還有個好處是速度較快
  由其是要趕時間時 除非你把整個行李箱提起來跑..
  另外....理論上..搶匪或扒手較不會去找背大背包的
  因為backpacker通常比較窮..XD
  提著行李箱比較像有錢人來渡假...:P

--

◆ From: 80.42.57.87



作者: Resd (遙遠的未來) 看板: EuropeTravel
標題: Re: 嬌小女生背大背包旅行..?
時間: Tue Jun  7 10:17:44 2005



挑背包可以去登山相關的版看看
再去登山用品店找背包

另外有一點 你提到你個子比較小
這時候就更要特別注意  這個背包的背架是不是適合你的背長
通常背架可以調整  但是也有個極限
如果放到最小對你來講還是太長  那就換一個吧

有些品牌會針對女性出大背包  特色就是背長比較短
肩寬也比較短  你可以去找找看  也許會比較適合
不過重點就是一定要試背  要裝到滿再試背
看看重心穩不穩  會不會有哪裡不舒服

然後要背大背包的話  貼身那件衣服可以是斜肩剪裁最好
沒有的話  肩線車縫的地方也不要太粗糙或太厚
不然背包肩帶壓下來  壓久了會很難過


--

◆ From: 61.220.178.27




作者: AVEDA (AVEDA) 看板: EuropeTravel
標題: Re: 嬌小女生背大背包旅行..?
時間: Tue Jun  7 11:41:02 2005



登山用品店的包包是不是動輒都要三四千啊
有地方可以買便宜一點的大的旅行用包包嗎

我的計畫是歐洲旅遊30天 從中歐到北歐
住宿是YH 交通是火車
謝謝

--

◆ From: 59.121.205.221




作者: tinuo (格局....) 看板: EuropeTravel
標題: Re: 嬌小女生背大背包旅行..?
時間: Tue Jun  7 14:50:22 2005



  嗯，沒錯，最便宜的也要三千起跳　但真的是一分錢一分貨
　尤其你們是打算要背長天數長時間的 !!!

　幾款國產的品質有一定水準　Atunas   Lafuma   Lowe
  至於買的地方，大概就屬登山用品店了，還有，一定要試背 !!

  登山用品店的店員都很熱情，有不懂的儘管問就對了，打包技巧，方式，怎樣調背包
　這都是很大學問喔 :)


　對了，那回來後可以分享心得嗎 ? 打算去北歐的旅行者們 ^^""
  因為我也打算之後要去北歐，也大概是一個半月，自助

--

◆ From: 220.139.149.56



作者: Resd (遙遠的未來) 看板: EuropeTravel
標題: Re: 嬌小女生背大背包旅行..?
時間: Tue Jun  7 15:34:47 2005



北歐的心得

看看這裡吧

不過沒有完整遊記  我想到就寫一點


http://www.wretch.cc/blog/Resd


照片


http://www.wretch.cc/album/album.php?id=Resd&book=5



--

◆ From: 61.220.178.27




作者: bbsun (I love touring) 看板: EuropeTravel
標題: Re: 嬌小女生背大背包旅行..?
時間: Tue Jun  7 16:01:56 2005



    我是在忠孝西路跟中山南路交叉口(如果台北車站在北,往第一象限的中山北路找)
    有兩家""登山友""
    我那時有看到55L的賣不到2000
    也有一些打折促銷的不到3000
    不過我真的覺得那對女生會有點負擔(尤其身高160cm以下的話)
    很有可能被背包壓著走(衣服保養品跟血拼少帶一點囉)

--

◆ From: 61.63.6.232","http://www.pixnet.net/displayimage.php?pos=-1529521|http://www.wretch.cc/blog/Resd|http://www.wretch.cc/album/album.php?id=Resd&book=5"
"【    出國事宜      】","◇ 歐洲各大城市地圖","https://www.ptt.cc/man/EuropeTravel/D4FA/M.1118242687.A.5C4.html","有沒有網站提供此類訊息

最好是有大眾運輸場站及路線的註名

主要的國家是德、法、荷、比、瑞、義、奧

--

◆ From: 203.68.71.201",""
"【    出國事宜      】","◇ 暑假飛歐洲的票價","https://www.ptt.cc/man/EuropeTravel/D4FA/M.1118496065.A.C21.html","暑假飛歐洲的票價大致是如此

http://61.218.59.212/chinacrs/ghtml/twd/tpe/PRG/TPE-PRG.htm


並不會便宜多少
不管是從布拉格進或從法蘭克福進, 價錢都是一樣的


--


飆山競水追風季 6月18日鐵人三項全國泛舟賽

http://www.Rafting.com.tw


--

◆ From: 218.163.190.129","http://61.218.59.212/chinacrs/ghtml/twd/tpe/PRG/TPE-PRG.htm|http://www.Rafting.com.tw"
"【    出國事宜      】","◇ [心得] 行前準備分享。","https://www.ptt.cc/man/EuropeTravel/D4FA/M.1119615560.A.B1B.html","以下的資料應該很多人都知道了，但我之前在版上潛水，覺得很多人都很大方
與熱心地替人解釋。

所以我在準備出國時的一些經驗，就分享給需要的人囉！

1. 在學緩徵役男出國申請核准：

   
https://nas.immigration.gov.tw/nasf/ctlr?PRO=PRO_Task05Application


   填完後，直接列印即可。

2. 申請國際學生證、國際教師證、青年旅館證和國際青年證：

   
http://www.statravel.org.tw/isic/index.htm


3. 英國地圖：
   
http://www.britishunited.net/index.cfm?id=60805&fuseaction=browse&

   pageid=94

   荷蘭地圖：
http://www.sunshinetour.com.tw/Dutch/h_map.asp



--

    常常有人問我為什麼選擇單身。我想，如果情勢使得每段感情都分手了結，一個
人自然就單身了，非常簡單。
                                                                  ～柯裕棻


--

◆ From: 61.31.135.9","https://nas.immigration.gov.tw/nasf/ctlr?PRO=PRO_Task05Application|http://www.statravel.org.tw/isic/index.htm|http://www.britishunited.net/index.cfm?id=60805&fuseaction=browse&|http://www.sunshinetour.com.tw/Dutch/h_map.asp"
"【    出國事宜      】","◇ [問題] 請問在法蘭克福機場怎麼轉機?","https://www.ptt.cc/man/EuropeTravel/D4FA/M.1119615633.A.3CE.html","我下星期也是要從法蘭克服轉到柏林
你的機票已經買好了嗎
沒有的話就從這個網站上買火車票吧

http://reiseauskunft.bahn.de/bin/query.exe/en?


--

◆ From: 211.21.104.23","http://reiseauskunft.bahn.de/bin/query.exe/en?"
"【    出國事宜      】","◇ [問題] 請問在法蘭克福轉機事宜","https://www.ptt.cc/man/EuropeTravel/D4FA/M.1120225726.A.3CD.html","對。。。

你有三小時綽綽有餘啦

我之前轉機只有半小時，小跑步也還來得及

還有因為你轉機時間居然有三小時那麼久

要注意一下登機門有沒有變

我之前就被騙，早早到既定登機門旁睡覺

上飛機前半小時居然給我改登機門




不用，你在台灣checkin就要說，行李請直掛Leipzig




先找登機門，不用辦什麼手續

他會檢查護照機票，因為你是在法蘭克福進申跟國

隨身行李可能還會再做一次檢查




沒錯



不用擔心，機場都有英文標示

再找不到的話，還有穿制服的美女帥哥可以問

good luck


--

那塔殺在慕尼黑

http://www.wretch.cc/album/Natasha


--

◆ From: 172.177.214.60




作者: sheeppig (靠么!!) 看板: EuropeTravel
標題: Re: [問題] 請問在法蘭克福轉機事宜
時間: Thu Jun 30 00:14:20 2005

你是訂德航的票嗎?
建議你可以請旅行社幫你申請MAAS的轉機服務
會有專人帶你轉機
新航有~不知道德航有沒有~問問看摟~!

他會問你理由，就說第一次出國不會說英文和德文
(即使你會~~~~~~~~~)









--
mY lIFe


http://photo.xuite.net/loveolive


--

◆ From: 218.184.0.8","http://www.wretch.cc/album/Natasha|http://photo.xuite.net/loveolive"
"【    出國事宜      】","◇ 歐洲火車訂票線上服務","https://www.ptt.cc/man/EuropeTravel/D4FA/M.1120224905.A.7E3.html","不禁來大推一下
線上服務非常好
我之前訂的火車時刻更改不另外加價
且回信 重新開票 的動作非常快

狠推薦大家要是使用eurail pass坐CNL的話 可以和DieBahn 訂票

若是時間不趕的話 他也有免費寄送票到台灣的服務


http://www.bahn.de


有英文選項

幾乎所有歐洲火車都可以查到歐

--

◆ From: 193.171.33.53","http://www.bahn.de"
"【    出國事宜      】","◇ 【分享】圖文解說Amadeus阿瑪迪斯國際航班查렠…","https://www.ptt.cc/man/EuropeTravel/D4FA/M.1120225092.A.ED3.html","很多網友在問
如何查詢世界各國航班及飛行旅程時數
很多網友也大力推薦 阿瑪迪斯查詢系統

http://www.amadeus.net/home/new/index.htm


這裡有個教學網頁..
分享給大家


http://pedo.hopto.org/html/modules/newbb/viewforum.php?forum=20


點選          好用的飛機時刻表查詢

裡頭有介紹Amadeus  查詢系統的文圖
--
我的歐遊攝影雜記 
http://dent.idv.tw


--

◆ From: 219.81.234.38","http://www.amadeus.net/home/new/index.htm|http://pedo.hopto.org/html/modules/newbb/viewforum.php?forum=20|http://dent.idv.tw"
"【    出國事宜      】","◇ [問題] 國外用提款機","https://www.ptt.cc/man/EuropeTravel/D4FA/M.1121652230.A.4DD.html","都不用申請手續
而且兩種系統都很常見
不過最好先跟一銀確認清楚
我去年帶豬頭一銀的卡出國
結果一直無法提款
差點淪落到身無分文的地步
讓我一直浪費電話錢打電話回來吵
一銀口吻就是你自己沒把卡片保管好  才可能使卡片毀損
後來希望他們能查清楚為何我無法提款  打手機跟我告知情況
也一直都沒有下文

回國之後我才曉得  原來他們把我生日號碼輸錯
造成我在國外無法提款  而從頭到尾我沒得到一句道歉

其實最保險的方法就是要帶兩張卡
不要像我一樣笨
然後各家手續費應該是提一次70-75元加提領金額的1%
不過朋友說國泰世華銀行提領一次只要付100元即可  不加1%
你可以去打聽看看


--

◆ From: 61.228.210.164",""
"【    出國事宜      】","◇ [問題] 請問歐洲線的行李限制是幾公斤","https://www.ptt.cc/man/EuropeTravel/D4FA/M.1121697773.A.CE3.html","如題~~~

--

◆ From: 219.68.19.190




作者: elixer () 看板: EuropeTravel
標題: Re: [問題] 請問歐洲線的行李限制是幾公斤
時間: Sat Jun 18 09:19:54 2005





請問那新航的經濟艙是幾公斤？檢查的很嚴嗎？

--

◆ From: 203.73.222.166




作者: amnesiachick (;l;l) 看板: EuropeTravel
標題: Re: [問題] 請問歐洲線的行李限制是幾公斤
時間: Tue Jun 21 11:16:22 2005


我上次搭國泰 32公斤都給我過XD
不過那是因為同行的兩個人的行李比較輕 所以補一補還好
所以如果有同行的話可以帶重一點 哈

然後我記得我法國的朋友跟我說 長榮的抓的很嚴 國泰相對就比較鬆
可是如果你(回國時)要帶那種易碎的東西的話(例如你要帶酒阿瓷器阿什麼的)
那就要把行李箱搞重一點 這樣搬行李的人才不會摔行李 恩




作者: vshchen (愛著啊) 看板: EuropeTravel
標題: Re: [問題] 請問歐洲線的行李限制是幾公斤
時間: Thu Jun 23 01:14:43 2005



華航跟KLM是總重20公斤 沒有件數限制
不過一般載客較少的情況下  都會通融超過一點點沒關係
不要太誇張就沒事

--

◆ From: 219.86.49.81




作者: Pletnev (At rejse er at leve.) 看板: EuropeTravel
標題: Re: [問題] 請問歐洲線的行李限制是幾公斤
時間: Sun Jul 10 23:45:46 2005

  我覺得一切都是看地勤

  去年我搭荷航回台灣
  行李25.5kg
  我連要用什麼理由跟她凹都想好了
  沒想到那小姐二話不說
  只貼了一張大大的""Heavy""
  就把行李送走了

  今年我搭同一航班
  行李25kg
  那個小姐說算我23kg已經是上限了
  硬是要我拿出2kg
  幸好她沒發現我我還有龐大的手提行李XD

  我同學有人從西班牙到英國拖了40kg上 easy jet也沒事
  可是有人拖了25kg上荷航 (忘了是去哪)硬是被罰了50歐
  而且小姐還說 ""我已經算妳便宜了!""  -.-""

  如果你想賭賭看
  建議一箱還是別超過32kg
  因為那樣搬運的人會受傷
  不管對自己或是工作人員都不好
  他想不罰你應該都很難










--
 老把自己視為珍珠
    就常有被深埋的痛苦

  莫如將自己看做塵土
    讓眾人踩踏成一條寬廣平實的道路

--

◆ From: 59.121.196.13",""
"【    出國事宜      】","◇ [問題] 歐洲深根簽證的問題?","https://www.ptt.cc/man/EuropeTravel/D4FA/M.1121699407.A.C7F.html","暑假我打算去英國  再從英國去德國

那我可不可以在台灣辦申根簽證就好?

這樣是不是就可以從英國前往德國呢?

謝謝!~

--

◆ From: 220.141.121.7




作者: cypres (倒數計時....) 看板: EuropeTravel
標題: Re: [問題] 歐洲深根簽證的問題?
時間: Wed Mar 16 20:36:56 2005


:
:
:

:

:

:

:
可以阿  申根簽證沒有規定你要從哪邊進去申根國

申根簽證跟歐盟  歐元  是三種不一樣的東西
歐盟國家不一定有加入申根  也不一定有使用歐元
最簡單的例子就是英國  他是歐盟國家  但是使用自己的英鎊  也要另外辦英國簽證
去年才加入歐盟的東歐國家  也沒有加入申根和使用歐元....
至於瑞士則是沒加入歐盟  沒使用歐元  但是可以持申根簽證入境....

不要搞混了....
(所以原po要去英國德國要辦英國簽證和申根簽證....)



--

        
http://www.wretch.cc/album/cypres


        陸續增加的東歐旅遊照片～～～


--

◆ From: 203.64.246.17




作者: jcll (@.@) 看板: EuropeTravel
標題: Re: [問題] 歐洲深根簽證的問題?
時間: Wed Mar 16 20:59:03 2005




http://www.eurotravel.idv.tw/info/EU.htm


  建議在台灣就辦好申根
  在uk辦申根很麻煩...大多要打付費語音電話預約
  除了法簽 幾乎都不能當天拿
  即使辦法簽 你也要耗掉半天時間去辦 而且也要事先預約
  在台灣辦方便多了..至少沒那麼多人
  旅行時還要花時間去辦visa蠻浪費的..

--

◆ From: 129.67.97.128



作者: brennen (kofola) 看板: EuropeTravel
標題: Re: [問題] 歐洲深根簽證的問題?
時間: Wed Mar 16 21:45:05 2005





若英國簽證可居留日期未達3個月以上 是一定會被拒簽的

在英國申請申根簽證的權利是給在英國居留或工作或讀書的人

一般的旅客 除非有特殊情況 應該盡可能在居住國內申請好簽證再出發

--

◆ From: 218.166.115.38



作者: LittleQuilt (再見。過去) 看板: EuropeTravel
標題: Re: [問題] 歐洲深根簽證的問題?
時間: Wed Mar 16 23:37:58 2005




沒錯,從英國申請申根 我朋友說打語音電話非常貴
一下子20幾英鎊就沒有了

主要我覺得是時間的問題
有些地方沒有辦法當場取件 可能要等個四五天
也可能排隊就耗掉整個早上

在台灣的人還是最好再出國前就辦好所以有的簽證吧
除非你很閒,在歐洲沒是做再去排隊辦簽證吧
他們的工作效率實在是不是很高
我覺得你應該把時間省下來好好去旅行的呀

奉勸原po....
直接在台北申請一下應該比Po版問等你得到大家的答案還快很多

--

╔═══════════════════╗
║          
              ║
║           
               ║
║
http://www.wretch.cc/blog/littlequilt
 ║
╚═══════════════════╝
--

◆ From: 213.47.117.91




作者: misschang (misschang) 看板: EuropeTravel
標題: Re: [問題] 歐洲深根簽證的問題?
時間: Thu Mar 17 09:47:41 2005

恕刪~~~~

那請問一下
我預計五月初到達英國探視親友及觀光(我申請的是英國多年的觀光簽證)
預計十月初跟朋友一起去歐洲觀光
我看了申根簽證都是效期三個月的
我本打算到英國再去辦申根簽證的
不過看起來我不是在英國居留、讀書、工作的人....我條件不符 大概會被拒簽
那我可以從英國將護照寄回台灣 請親友代辦申根簽證完 再寄去使用嗎？
有人這樣試過嗎？




--

◆ From: 163.22.18.105




作者: cuteterisa (Hello, stranger!) 看板: EuropeTravel
標題: Re: [問題] 歐洲深根簽證的問題?
時間: Thu Mar 17 11:41:41 2005



你這問題我遇到過 (我是持觀光visa)
去年我到英國荒廢了一陣子後 才想到我辦的申根快過期了
原本想匆忙地過去義大利或者瑞士 但啥都沒準備 (剩兩個禮拜的有效期)
剛好我在英國的朋友告訴我 她要回台灣 可以幫我把護照帶回去 再簽一次
一開始我也懷疑是否可行 她拍胸脯地說 絕對沒有問題
因為之前有留學生為了貪台灣辦申根簽證比較便宜 也是寄回台灣辦 而且成功
沒想到 在我的申根visa終於過期後的某一天 她從台灣打了通電話給我
說旅行社發現我根本不在台灣 很生氣我們怎麼這麼做 還不把錢退回給我們
就這樣 錢差點沒要回 簽證沒簽到 原本的也過期了
所以你千萬不要跟我一樣 做這件白痴的事情

--
If you believe in love at first sight, you never stop looking!


http://mypaper.pchome.com.tw/news/terisawu/


--

◆ From: 218.175.37.56




作者: m28 (All roads lead to ROME) 看板: EuropeTravel
標題: Re: [問題] 歐洲深根簽證的問題?
時間: Thu Mar 17 12:51:00 2005



看到這個，我想講個不太相關的
前幾天我去辦義大利簽證，要填寫申請表，表格末端並要求本人[親自簽名]

我在等待叫號的同時，有個旅行社的業務也坐在旁邊等
業務他拿了一堆護照和申請表，就是團體旅遊之類的代辦吧，我猜
他在那邊翻申請表，突然發現有個人的表格結尾不是本人親自簽名
突然見他跳起來，緊急打了電話回旅行社，交代要趕快找到本人重簽

我還在想說有這麼嚴重嘛？雖然規定要本人親簽，但要被抓到代簽也不容易吧？

業務掛了電話之後，語重心長的對旁邊同僚說﹔

""後..好險我有發現，不然飯碗就不保了..""

看來代簽真的很嚴重ＸＤ

（不過這裡的代簽是指代簽名啦，人在國外的代辦我就不曉得了）







--

--

◆ From: 220.135.98.93



作者: brennen (kofola) 看板: EuropeTravel
標題: Re: [問題] 歐洲深根簽證的問題?
時間: Thu Mar 17 13:24:34 2005



在台灣申請申根簽證 失敗率幾乎是零 又可以拿半年期90天這麼長的時間
在國外申請可是很辛苦的 又貴 時間給的又短 申請幾天就給幾天
幾乎沒聽過可以拿到一個月以上的 而且又有很多機車簽證官
欲知詳情 請洽 HelloUk

何必自找麻煩 在台灣申請就好了 寄回來請旅行社夾帶申辦
有聽說成功過 但是那個是很久很久以前 現在是不可能的
簽證處都學聰明了 他們會檢查出入境章 絕無蒙混過關的可能性

如果妳當時人在英國 又待了很久(超過3個月)且英國的簽證效期符合規定
""應該""是可以在英國申請簽證的 看妳的計畫是在英國玩半年後 才要
去歐洲  這表示 妳必須在入境英國後 3個月之內申請申根簽證

在英國辦很麻煩 我不清楚妳到時要怎麼提財務證明 他們是不可能
接受台灣的銀行所開立的存款證明的 因為無從驗證其真假
妳在英國也沒有開戶 在英國的學生可以用 bank statement證明

也許必須拿一疊 簽過名的旅行支票?? 信用卡??

審核申根簽證的簽證官必須確定妳會返回英國 不會滯留在歐陸
所以英簽的效期必須夠長才可以 但是 五年多次 最長停留6個月的
是指只要出境英國後 再次入境六個月又重算? 還是 無論一年內
進出英國幾次 總停留天數不能超過180天呢? 這點必須釐清 打電話
問BTCO 最保險 最好也寫E-mail去問 要申請簽證的那個國家的駐英大使館

如果可以還是在自家申請最方便又便宜 不信的話去問 在英國
被簽證官刁難的可憐留學生最清楚啦!妳不如在台灣辦好申根
然後在中間去歐洲玩再飛回英國還比較方便

A passport with one blank page and




網頁

http://www.german-embassy.org.uk/which_documents_do_i_need_.html","http://www.wretch.cc/album/cypres|http://www.eurotravel.idv.tw/info/EU.htm|http://www.wretch.cc/blog/littlequilt|http://mypaper.pchome.com.tw/news/terisawu/|http://www.german-embassy.org.uk/which_documents_do_i_need_.html"
"【    出國事宜      】","◇ [問題] 線上訂hostle","https://www.ptt.cc/man/EuropeTravel/D4FA/M.1121701690.A.EF6.html","線上訂旅館大部份都會要求先付一筆訂金
  大約是你整個訂房費用加起來的幾percent
  等到了之後再付全額
  大部份線上付費的網站應該有加入什麼安全系統
  所以你只要稍微注意一下都還ok
  而且最後還要輸入卡背面名字上面那串數字的後3碼  才會交易成功
  所以如果只次單純先留你信用卡的資料  應該只會問你正面的資料
  留資料的目的是怕你訂了又反悔 如果你反悔了他們就會收你一些錢
  情形很多  你先看看他們是要你付訂金呢還是只有要留資料而已?還是要付清了?
  我個人是有線上訂房過3.4次  安全上是還蠻不錯  目前是還沒發生過什麼事
  其實用卡付也不會不好錯  匯率比你當場用現金買英鎊還用划算一點

--

◆ From: 82.37.192.253



作者: jusy (嵐) 看板: EuropeTravel
標題: Re: [問題] 線上訂hostle
時間: Fri Jul 15 03:46:54 2005



  還有 你可以寫信跟你要去住的旅館說 你有一些安全上的考量 可以口頭約定嗎??

  我是這樣做啦 ~~只不過他會要求你給她們你家的住址 以方便完成訂房手續

  這個方法的前提是 一定要去住喔~~~@@"" 跟他強烈的保證說 你會去住

--

◆ From: 134.225.182.42",""
